Date,Open,High,Low,Close,CCI14,CCIGrad,ROC,WMA14,EMA,UppBB,MidBB,LowBB,Y2,,,,,
1993.05.31,1.5605,1.563,1.556,1.561,125.1932349,,,0.829311054,1.546620991,0.110515675,0.11029898,0.110082284,,,,,,
1993.06.01,1.5613,1.567,1.546,1.5555,82.0104461,-43.18278877,,0.830229592,1.547893747,0.110637644,0.110409694,0.110181744,Buy,Sell,,Sell,,
1993.06.02,1.5544,1.556,1.5364,1.54,-16.47670466,-98.48715076,-55.30436199,0.830184524,1.547392359,0.110670428,0.11049898,0.110327531,Buy,Buy,,Sell,,
1993.06.03,1.5403,1.5501,1.537,1.5501,-11.54940262,4.927302042,103.4144528,0.830158673,1.547171155,0.110704033,0.110557143,0.110410252,Buy,Sell,,Sell,,
1993.06.04,1.549,1.5505,1.506,1.5085,-196.9362032,-185.3868006,-190.3141026,0.82835085,1.543770557,0.110642323,0.110419388,0.110196453,Buy,Buy,,Buy,,
1993.06.07,1.5063,1.5268,1.506,1.5268,-181.2194102,15.716793,201.1035936,0.826495068,1.540583372,0.110663004,0.110369898,0.110076792,Buy,Sell,,Sell,,
1993.06.08,1.5253,1.5265,1.5135,1.5205,-140.1651028,41.05430741,25.33751441,0.824726361,1.537861144,0.110628402,0.110254082,0.109879761,Sell,Sell,,Buy,,
1993.06.09,1.5195,1.527,1.5069,1.5152,-127.7531166,12.41198619,-28.64232122,0.822794558,1.534995214,0.110499627,0.110043367,0.109587107,Buy,Buy,,Buy,,
1993.06.10,1.5137,1.5325,1.507,1.5305,-76.33490381,51.4182128,39.00622661,0.821540646,1.533440297,0.110471596,0.109982143,0.109492689,Sell,Sell,,Sell,,
1993.06.11,1.5293,1.5405,1.5185,1.5215,-52.96835404,23.36654977,-28.05166303,0.820656973,1.532559368,0.110415091,0.109905612,0.109396134,Sell,Buy,,Sell,,
1993.06.14,1.519,1.533,1.519,1.5285,-46.29255402,6.675800021,-16.69074975,0.81982415,1.531795897,0.110362516,0.109836735,0.109310953,Buy,Sell,,Sell,,
1993.06.15,1.5275,1.5355,1.514,1.5165,-58.90502858,-12.61247457,-19.28827459,0.818719218,1.530489777,0.110223102,0.109680102,0.109137102,Buy,Sell,,Sell,,
1993.06.16,1.5155,1.52,1.498,1.5062,-107.2267287,-48.32170014,-35.70922558,0.816742687,1.527500029,0.109962279,0.109395408,0.108828537,Buy,Buy,,Sell,,
1993.06.17,1.5055,1.5187,1.4985,1.514,-93.45259827,13.77413046,62.0958306,0.815179932,1.525220025,0.109650876,0.109157143,0.108663409,Buy,Sell,,Sell,,
1993.06.18,1.5142,1.517,1.492,1.4975,-135.7801572,-42.32755894,-56.10168939,0.813285884,1.522146244,0.10925311,0.108833163,0.108413216,Buy,Sell,,Sell,,
1993.06.21,1.494,1.498,1.4799,1.4885,-198.0578508,-62.27769358,-19.95013465,0.810732143,1.517700078,0.108904789,0.108491327,0.108077864,Buy,Sell,,Sell,,
1993.06.22,1.4883,1.4905,1.474,1.4778,-187.2049391,10.8529117,73.13060528,0.807948299,1.512775623,0.108678461,0.10817398,0.107669498,Buy,Sell,,Sell,,
1993.06.23,1.478,1.481,1.467,1.4735,-174.8090914,12.39584766,1.542935965,0.804992517,1.507583318,0.108346461,0.107783163,0.107219865,Buy,Sell,,Buy,,
1993.06.24,1.472,1.4761,1.4637,1.469,-147.0831207,27.72597075,15.33012309,0.80210119,1.502518876,0.108332158,0.107581633,0.106831107,Buy,Buy,,Buy,,
1993.06.25,1.4683,1.4835,1.467,1.4762,-100.3855851,46.69753563,18.97156488,0.799901701,1.498925248,0.108163363,0.107323469,0.106483575,Sell,Buy,,Buy,,
1993.06.28,1.4785,1.4975,1.475,1.4959,-42.06355112,58.32203393,11.6244983,0.798921088,1.497664104,0.108014014,0.107197959,0.106381905,Sell,Buy,,Sell,,
1993.06.29,1.4954,1.5155,1.4894,1.5123,20.75954576,62.82309689,4.501062961,0.799259014,1.498740001,0.107967538,0.107183163,0.106398788,Sell,Sell,,Buy,,
